year,month,state_code,energy_source,generation_mwh
2001,1,AK,Coal,46903.0
2001,1,AK,Petroleum,71085.0
2001,1,AK,Natural Gas,367521.0
2001,1,AK,Hydroelectric Conventional,104549.0
2001,1,AK,Wind,87.0
2001,1,AL,Coal,6557913.0
2001,1,AL,Petroleum,107497.0
2001,1,AL,Natural Gas,566478.0
2001,1,AL,Nuclear,2940300.0
2001,1,AL,Hydroelectric Conventional,727118.0
2001,1,AL,Wood and Wood Derived Fuels,399474.0
2001,1,AL,Other Biomass,1694.0
2001,1,AR,Coal,2149808.0
2001,1,AR,Petroleum,124389.0
2001,1,AR,Natural Gas,191970.0
2001,1,AR,Nuclear,1028544.0
2001,1,AR,Hydroelectric Conventional,272026.0
2001,1,AR,Wood and Wood Derived Fuels,135977.0
2001,1,AR,Other Biomass,553.0
2001,1,AZ,Coal,3418454.0
2001,1,AZ,Petroleum,143626.0
2001,1,AZ,Natural Gas,651812.0
2001,1,AZ,Nuclear,2733255.0
2001,1,AZ,Hydroelectric Conventional,607969.0
2001,1,AZ,Solar Thermal and Photovoltaic,0.0
2001,1,AZ,Other Biomass,453.0
2001,1,CA,Coal,199857.0
2001,1,CA,Petroleum,459703.0
2001,1,CA,Natural Gas,10192494.0
2001,1,CA,Nuclear,2379998.0
2001,1,CA,Hydroelectric Conventional,1590096.0
2001,1,CA,Wind,133423.0
2001,1,CA,Solar Thermal and Photovoltaic,6500.0
2001,1,CA,Wood and Wood Derived Fuels,313245.0
2001,1,CA,Geothermal,1085733.0
2001,1,CA,Other Biomass,178497.0
2001,1,CO,Coal,3245939.0
2001,1,CO,Petroleum,20510.0
2001,1,CO,Natural Gas,785000.0
2001,1,CO,Hydroelectric Conventional,111346.0
2001,1,CO,Wind,4158.0
2001,1,CO,Other Biomass,5160.0
2001,1,CT,Coal,327541.0
2001,1,CT,Petroleum,923930.0
2001,1,CT,Natural Gas,125845.0
2001,1,CT,Nuclear,1366126.0
2001,1,CT,Hydroelectric Conventional,37537.0
2001,1,CT,Other Biomass,74757.0
2001,1,DC,Petroleum,9251.0
2001,1,DE,Coal,474117.0
2001,1,DE,Petroleum,132408.0
2001,1,DE,Natural Gas,7062.0
2001,1,FL,Coal,6721861.0
2001,1,FL,Petroleum,4496351.0
2001,1,FL,Natural Gas,2203652.0
2001,1,FL,Nuclear,2942999.0
2001,1,FL,Hydroelectric Conventional,7830.0
2001,1,FL,Wood and Wood Derived Fuels,163756.0
2001,1,FL,Other Biomass,170974.0
2001,1,GA,Coal,7258909.0
2001,1,GA,Petroleum,217585.0
2001,1,GA,Natural Gas,77667.0
2001,1,GA,Nuclear,3064367.0
2001,1,GA,Hydroelectric Conventional,239920.0
2001,1,GA,Wood and Wood Derived Fuels,258328.0
2001,1,GA,Other Biomass,2206.0
2001,1,HI,Coal,134161.0
2001,1,HI,Petroleum,725556.0
2001,1,HI,Natural Gas,0.0
2001,1,HI,Hydroelectric Conventional,6613.0
2001,1,HI,Wind,109.0
2001,1,HI,Geothermal,21137.0
2001,1,HI,Other Biomass,21098.0
2001,1,IA,Coal,3230308.0
2001,1,IA,Petroleum,5328.0
2001,1,IA,Natural Gas,23761.0
2001,1,IA,Nuclear,382045.0
2001,1,IA,Hydroelectric Conventional,66640.0
2001,1,IA,Wind,43633.0
2001,1,IA,Other Biomass,8997.0
2001,1,ID,Coal,4716.0
2001,1,ID,Petroleum,926.0
2001,1,ID,Natural Gas,20201.0
2001,1,ID,Hydroelectric Conventional,526211.0
2001,1,ID,Wood and Wood Derived Fuels,43491.0
2001,1,IL,Coal,7539572.0
2001,1,IL,Petroleum,17066.0
2001,1,IL,Natural Gas,137681.0
2001,1,IL,Nuclear,8237539.0
